longitude_list,latitude_list,sflux_data_list
75.0,30.0,2.08489856925179e-14
75.0,35.0,2.5566466967609504e-14
75.0,40.0,2.7871519736882463e-14
75.0,45.0,3.395601929832759e-14
75.0,50.0,2.605283019816488e-14
75.0,55.0,2.287670923565241e-14
75.0,60.0,2.84610341711796e-14
75.0,65.0,4.892891186247424e-14
75.0,70.0,3.5843964479871215e-14
75.0,75.0,5.103652955432148e-14
75.0,80.0,8.573967422318663e-14
75.0,85.0,9.112044812719333e-14
75.0,90.0,7.731334004579847e-14
80.0,-90.0,1.656027526828101e-14
80.0,-85.0,9.154544570615027e-15
80.0,-80.0,7.386362351279648e-15
80.0,-75.0,8.786291320622539e-15
80.0,-70.0,1.0281869601074765e-14
80.0,-65.0,9.914634055940792e-15
80.0,-60.0,7.842730641713419e-15
80.0,-55.0,8.096792402566878e-15
80.0,-50.0,1.4226117920966435e-14
80.0,-45.0,2.132925426068905e-14
80.0,-40.0,2.2486442682740317e-14
80.0,-35.0,2.3686838815126533e-14
80.0,-30.0,2.854494968724241e-14
80.0,-25.0,3.407542446000226e-14
80.0,-20.0,3.666298324447439e-14
80.0,-15.0,3.7546472647250855e-14
80.0,-10.0,3.72508760375495e-14
80.0,-5.0,1.7910270683455177e-14
80.0,0.0,2.1956521088191777e-18
80.0,5.0,5.2095123830452916e-14
80.0,10.0,4.3867048316364135e-14
80.0,15.0,2.496376723214603e-14
80.0,20.0,2.4807798505207917e-14
80.0,25.0,2.646234627613977e-14
80.0,30.0,2.5653089733223075e-14
80.0,35.0,2.929160766887173e-14
80.0,40.0,2.848364386918263e-14
80.0,45.0,3.495520533397127e-14
80.0,50.0,2.6503784022782165e-14
80.0,55.0,2.3338044012996146e-14
80.0,60.0,3.313078053668639e-14
80.0,65.0,3.8254785562296006e-14
80.0,70.0,3.691589377482827e-14
80.0,75.0,5.33697645090379e-14
80.0,80.0,7.576319555409099e-14
80.0,85.0,9.265225545607789e-14
80.0,90.0,7.731334004579847e-14
85.0,-90.0,1.656027526828101e-14
85.0,-85.0,9.304757712261103e-15
85.0,-80.0,7.81140585625359e-15
85.0,-75.0,8.883525570319394e-15
85.0,-70.0,9.868328923950102e-15
85.0,-65.0,1.0547982759592773e-14
85.0,-60.0,7.586027170276921e-15
85.0,-55.0,8.428272898939344e-15
85.0,-50.0,1.429219912843317e-14
85.0,-45.0,1.864382319098698e-14
85.0,-40.0,1.9771137114485683e-14
85.0,-35.0,2.3872373274737397e-14
85.0,-30.0,3.171252498338443e-14
85.0,-25.0,3.8790455714609295e-14
85.0,-20.0,3.583673789208194e-14
85.0,-15.0,3.795198442645041e-14
85.0,-10.0,4.2835143337994435e-14
85.0,-5.0,1.0672772730671476e-14
85.0,0.0,9.868903818012858e-18
85.0,5.0,2.1190623087645814e-14
85.0,10.0,3.960786369701323e-14
85.0,15.0,2.8654105945683653e-14
85.0,20.0,2.937030426253427e-14
85.0,25.0,2.6935977739193653e-14
85.0,30.0,2.6132200658304416e-14
85.0,35.0,2.641372640553228e-14
85.0,40.0,2.874922413476455e-14
85.0,45.0,3.1132708962190636e-14
85.0,50.0,2.7288532666197208e-14
85.0,55.0,2.8506797447839806e-14
85.0,60.0,3.882190951800545e-14
85.0,65.0,5.420945917149379e-14
85.0,70.0,3.751135697064701e-14
85.0,75.0,6.085818502523572e-14
85.0,80.0,7.500792226006763e-14
85.0,85.0,9.161400565351434e-14
85.0,90.0,7.731334004579847e-14
90.0,-90.0,1.656027526828101e-14
90.0,-85.0,1.0067735315029301e-14
90.0,-80.0,8.448195005949346e-15
90.0,-75.0,9.17608333386973e-15
90.0,-70.0,1.2570942680238062e-14
90.0,-65.0,1.0892825599798679e-14
90.0,-60.0,7.244122932961149e-15
90.0,-55.0,8.101310047315062e-15
90.0,-50.0,1.3117575799151436e-14
90.0,-45.0,1.6157279666414794e-14
90.0,-40.0,1.9560709356323488e-14
90.0,-35.0,2.88104681193803e-14
90.0,-30.0,4.097732034678843e-14
90.0,-25.0,4.3295441276379516e-14
90.0,-20.0,3.1067878323042325e-14
90.0,-15.0,2.030417493340762e-14
90.0,-10.0,1.6781466393085413e-14
90.0,-5.0,2.751458096086119e-15
90.0,0.0,5.455499268807909e-15
90.0,5.0,2.4869135853956e-14
90.0,10.0,4.359149366659271e-14
90.0,15.0,2.635097077594707e-14
90.0,20.0,2.790123043306676e-14
90.0,25.0,2.607568447042097e-14
90.0,30.0,2.4638883534379715e-14
90.0,35.0,2.0690167088613922e-14
90.0,40.0,1.975139744078298e-14
90.0,45.0,2.5752847481577667e-14
90.0,50.0,2.892836923777869e-14
90.0,55.0,3.1296903035821264e-14
90.0,60.0,4.690062403059866e-14
90.0,65.0,6.892934170783413e-14
90.0,70.0,3.5899559507538655e-14
90.0,75.0,5.69187892985822e-14
