longitude_list,latitude_list,OVII_column_number_density_integrate_data_list
55.0,35.0,15.541288045013255
55.0,40.0,15.514960004495194
55.0,45.0,15.450637784264128
55.0,50.0,15.414926031383885
55.0,55.0,15.360336146262357
55.0,60.0,15.307423295024211
55.0,65.0,15.324101526379621
55.0,70.0,15.308925528944977
55.0,75.0,15.260197744435837
55.0,80.0,15.295779957018972
55.0,85.0,15.220485673098338
55.0,90.0,15.252713668975785
60.0,-90.0,15.01682091453129
60.0,-85.0,14.930791767244202
60.0,-80.0,14.90409691227768
60.0,-75.0,14.904421005059252
60.0,-70.0,14.940627070814898
60.0,-65.0,14.96422979963201
60.0,-60.0,15.068892732765471
60.0,-55.0,15.215896581068998
60.0,-50.0,15.27544547851629
60.0,-45.0,15.298250232354537
60.0,-40.0,15.31643224002916
60.0,-35.0,15.302582542356479
60.0,-30.0,15.276386513098144
60.0,-25.0,15.361970102194398
60.0,-20.0,15.437839353194832
60.0,-15.0,15.543409532786002
60.0,-10.0,15.42420939635289
60.0,-5.0,15.653512149517486
60.0,0.0,15.146272625455545
60.0,5.0,15.395205860266351
60.0,10.0,15.269686544898054
60.0,15.0,15.383821839600405
60.0,20.0,15.509650691100159
60.0,25.0,15.512736281673847
60.0,30.0,15.495046922594872
60.0,35.0,15.483888816414705
60.0,40.0,15.4528154725715
60.0,45.0,15.452637894776053
60.0,50.0,15.407652764048358
60.0,55.0,15.368276221304695
60.0,60.0,15.295573572777228
60.0,65.0,15.326007098572276
60.0,70.0,15.308181694942919
60.0,75.0,15.250422833049834
60.0,80.0,15.30809506535014
60.0,85.0,15.229092750693178
60.0,90.0,15.252713668975785
65.0,-90.0,15.01682091453129
65.0,-85.0,14.914973576429386
65.0,-80.0,14.923806698697902
65.0,-75.0,14.933928717984182
65.0,-70.0,14.977518545694412
65.0,-65.0,14.983997760977033
65.0,-60.0,15.054383530367513
65.0,-55.0,15.216397012412827
65.0,-50.0,15.339402927307344
65.0,-45.0,15.309611561733611
65.0,-40.0,15.27921572327952
65.0,-35.0,15.275384892328617
65.0,-30.0,15.315440096762362
65.0,-25.0,15.40968189567639
65.0,-20.0,15.502333173475625
65.0,-15.0,15.45201629451263
65.0,-10.0,15.469676111336165
65.0,-5.0,15.523724939889549
65.0,0.0,14.581913078281172
65.0,5.0,15.112275467356303
65.0,10.0,15.17305818526594
65.0,15.0,15.309144010675489
65.0,20.0,15.476157974842241
65.0,25.0,15.41985722522517
65.0,30.0,15.447963545381674
65.0,35.0,15.435382858741894
65.0,40.0,15.40829128263794
65.0,45.0,15.402365880964323
65.0,50.0,15.394205265156373
65.0,55.0,15.376279792130859
65.0,60.0,15.326898186180413
65.0,65.0,15.352081665653408
65.0,70.0,15.283322972817288
65.0,75.0,15.239791268976555
65.0,80.0,15.315584285127827
65.0,85.0,15.238971114551408
65.0,90.0,15.252713668975785
70.0,-90.0,15.01682091453129
70.0,-85.0,14.916713952332685
70.0,-80.0,14.932598537286456
70.0,-75.0,14.977429577024436
70.0,-70.0,15.006194516911384
70.0,-65.0,15.02386032039136
70.0,-60.0,15.079361729560553
70.0,-55.0,15.197383673985495
70.0,-50.0,15.320225765021888
70.0,-45.0,15.388643234361368
70.0,-40.0,15.360330214163378
70.0,-35.0,15.329891951309712
70.0,-30.0,15.365181073369843
70.0,-25.0,15.412130822879286
70.0,-20.0,15.40286894042419
70.0,-15.0,15.353971596458354
70.0,-10.0,15.32257806556729
70.0,-5.0,15.294671282493336
70.0,0.0,15.354587577832136
70.0,5.0,15.01552193448738
70.0,10.0,15.071447876108026
70.0,15.0,15.238555955856341
70.0,20.0,15.495016749328952
70.0,25.0,15.379909693458197
70.0,30.0,15.389869771846458
70.0,35.0,15.382317297696302
70.0,40.0,15.400704676186194
70.0,45.0,15.40115690501817
70.0,50.0,15.375500468459167
70.0,55.0,15.421743779807176
70.0,60.0,15.36794170844177
70.0,65.0,15.350539251516961
70.0,70.0,15.269734007541668
70.0,75.0,15.219508519561849
70.0,80.0,15.207603346884666
70.0,85.0,15.247840461843577
70.0,90.0,15.252713668975785
75.0,-90.0,15.01682091453129
75.0,-85.0,14.925244293101217
75.0,-80.0,14.934979032399742
75.0,-75.0,15.01231589856722
75.0,-70.0,15.009145212950598
75.0,-65.0,15.006528650644178
75.0,-60.0,15.107139576144073
75.0,-55.0,15.177658448276809
75.0,-50.0,15.286287562493898
75.0,-45.0,15.433786053482327
75.0,-40.0,15.401085653162154
75.0,-35.0,15.41424704424543
75.0,-30.0,15.37916743385271
75.0,-25.0,15.432820911049586
75.0,-20.0,15.389357014786029
75.0,-15.0,15.413222564353005
75.0,-10.0,15.220540198397016
75.0,-5.0,14.85607590978537
75.0,0.0,13.127949295086287
75.0,5.0,14.908656609315944
75.0,10.0,15.065925662958035
75.0,15.0,15.148828852671723
75.0,20.0,15.274664141107488
75.0,25.0,15.40070134671478
75.0,30.0,15.37902068457804
75.0,35.0,15.351001586048689
75.0,40.0,15.435027750044313
75.0,45.0,15.40339666572778
75.0,50.0,15.380157807703132
75.0,55.0,15.408080278859993
75.0,60.0,15.374295696230147
75.0,65.0,15.346358555519535
75.0,70.0,15.25114170259127
75.0,75.0,15.205792747057163
75.0,80.0,15.199914463958539
75.0,85.0,15.268406025535196
75.0,90.0,15.252713668975785
80.0,-90.0,15.01682091453129
80.0,-85.0,14.93146414195211
80.0,-80.0,14.962368291940102
80.0,-75.0,15.01986410417803
80.0,-70.0,15.036553554403918
80.0,-65.0,15.056028340669956
80.0,-60.0,15.104966956583784
80.0,-55.0,15.13465355265995
80.0,-50.0,15.200230328521814
80.0,-45.0,15.315362002539601
80.0,-40.0,15.387247576942036
80.0,-35.0,15.435103742164008
80.0,-30.0,15.474883614255242
80.0,-25.0,15.429877926350771
80.0,-20.0,15.292444491490233
80.0,-15.0,15.257986274868388
80.0,-10.0,15.03864239588537
80.0,-5.0,14.534247718484446
80.0,0.0,13.46874947703175
80.0,5.0,14.6693910399915
80.0,10.0,15.081824515874947
80.0,15.0,15.165518662168362
80.0,20.0,15.265073495643087
80.0,25.0,15.306780019587528
80.0,30.0,15.355516024683443
80.0,35.0,15.30509151559296
80.0,40.0,15.358153559436724
80.0,45.0,15.359795684951816
80.0,50.0,15.36538755735846
80.0,55.0,15.386524734538272
80.0,60.0,15.370612923731985
80.0,65.0,15.328504280353084
80.0,70.0,15.22685995662802
80.0,75.0,15.198326834273606
80.0,80.0,15.200161582256662
80.0,85.0,15.26628568183132
80.0,90.0,15.252713668975785
85.0,-90.0,15.01682091453129
85.0,-85.0,14.926413468437037
85.0,-80.0,14.912478924291712
85.0,-75.0,14.996228439888494
85.0,-70.0,15.044218371900934
85.0,-65.0,15.097671932392657
85.0,-60.0,15.128957834000424
85.0,-55.0,15.173315223085643
85.0,-50.0,15.196611172342289
85.0,-45.0,15.255522644675532
85.0,-40.0,15.373828071272365
85.0,-35.0,15.490461135372879
85.0,-30.0,15.44792036328296
85.0,-25.0,15.316790865564604
85.0,-20.0,15.226597992296519
85.0,-15.0,15.274506854308855
85.0,-10.0,15.07181777451984
85.0,-5.0,14.599131606627616
85.0,0.0,14.097769878756953
85.0,5.0,14.71674348953622
85.0,10.0,15.160453818934114
85.0,15.0,15.146701947009943
85.0,20.0,15.159665463468192
85.0,25.0,15.185691556865274
85.0,30.0,15.203980959789899
85.0,35.0,15.225007320794024
85.0,40.0,15.204425544889167
85.0,45.0,15.323720424884032
85.0,50.0,15.331417955262078
85.0,55.0,15.375422705917691
85.0,60.0,15.359059852856067
85.0,65.0,15.314009412324799
85.0,70.0,15.221602348839946
85.0,75.0,15.195762550113876
85.0,80.0,15.208998555826817
85.0,85.0,15.264777125605704
85.0,90.0,15.252713668975785
90.0,-90.0,15.01682091453129
90.0,-85.0,14.920593396961019
90.0,-80.0,14.91114085687838
90.0,-75.0,15.01536231637144
90.0,-70.0,15.053129369954691
90.0,-65.0,15.0979423977988
90.0,-60.0,15.161347881918525
90.0,-55.0,15.177022150577598
90.0,-50.0,15.191495162265946
90.0,-45.0,15.222134744194785
90.0,-40.0,15.330214780104649
90.0,-35.0,15.41238365144184
90.0,-30.0,15.317080187588141
90.0,-25.0,15.286905853922498
90.0,-20.0,15.285061218610041
90.0,-15.0,15.185861854399075
90.0,-10.0,15.064145310369755
90.0,-5.0,14.639531352856835
90.0,0.0,14.222600528127929
90.0,5.0,14.903989378724647
90.0,10.0,15.14885390819851
90.0,15.0,15.097381437125655
90.0,20.0,15.133142748080312
90.0,25.0,15.147105038155004
90.0,30.0,15.113134687979862
90.0,35.0,15.142540141616767
90.0,40.0,15.112366333019594
90.0,45.0,15.232292378513474
90.0,50.0,15.355575617815093
90.0,55.0,15.342821170664275
90.0,60.0,15.330708805778036
90.0,65.0,15.294825003568887
90.0,70.0,15.217948441296627
90.0,75.0,15.204643721646582
90.0,80.0,15.211421486859393
90.0,85.0,15.27294061788677
90.0,90.0,15.252713668975785
95.0,-90.0,15.01682091453129
95.0,-85.0,14.932766843906135
95.0,-80.0,14.926737543702698
95.0,-75.0,15.012701930628321
95.0,-70.0,15.075595885146605
95.0,-65.0,15.119718760538847
95.0,-60.0,15.183350513602853
95.0,-55.0,15.19110248209923
95.0,-50.0,15.192343474527728
95.0,-45.0,15.284232284487862
95.0,-40.0,15.339212468820925
95.0,-35.0,15.29590086847666
95.0,-30.0,15.30168816447698
95.0,-25.0,15.315833504747411
95.0,-20.0,15.301313816954204
95.0,-15.0,15.169594369594217
95.0,-10.0,15.012659306167963
95.0,-5.0,14.734146598033472
95.0,0.0,15.049126599305714
95.0,5.0,15.136145826738503
95.0,10.0,15.20651646970377
95.0,15.0,15.127199175865496
95.0,20.0,15.03192266762889
95.0,25.0,15.040070242259262
95.0,30.0,15.09127488074571
95.0,35.0,15.125438662225076
95.0,40.0,15.05871234814125
95.0,45.0,15.191141022535641
95.0,50.0,15.302348981010885
95.0,55.0,15.288217151009114
95.0,60.0,15.327014733572431
95.0,65.0,15.289537265618124
95.0,70.0,15.222920348802933
95.0,75.0,15.20797663675639
95.0,80.0,15.20419412682388
95.0,85.0,15.262360701087948
95.0,90.0,15.252713668975785
100.0,-90.0,15.01682091453129
100.0,-85.0,14.93987061348648
100.0,-80.0,14.937758360006898
100.0,-75.0,15.030635609937383
100.0,-70.0,15.098832152765043
100.0,-65.0,15.135659070370851
100.0,-60.0,15.202601959867673
100.0,-55.0,15.217167497288832
100.0,-50.0,15.184955581792684
100.0,-45.0,15.303235108386769
100.0,-40.0,15.38127071098856
100.0,-35.0,15.32076770077454
100.0,-30.0,15.366690407842661
100.0,-25.0,15.345555232020338
100.0,-20.0,15.307557139535641
100.0,-15.0,15.110434002167562
100.0,-10.0,15.074253018712396
100.0,-5.0,14.917856511155128
100.0,0.0,14.713806454899181
100.0,5.0,15.320382863804621
100.0,10.0,15.176340449324636
100.0,15.0,15.080795297364475
100.0,20.0,15.003065150566638
100.0,25.0,14.970520996145549
100.0,30.0,15.033846676061277
100.0,35.0,14.98970948845558
100.0,40.0,15.026385954514573
100.0,45.0,15.134871082221986
100.0,50.0,15.24833135156237
100.0,55.0,15.248453127623407
100.0,60.0,15.334288632865974
100.0,65.0,15.26809635930113
100.0,70.0,15.223050444172092
100.0,75.0,15.188791896655045
100.0,80.0,15.194697449938207
100.0,85.0,15.264205831440707
100.0,90.0,15.252713668975785
105.0,-90.0,15.01682091453129
105.0,-85.0,14.937151775358695
105.0,-80.0,14.939622592626186
105.0,-75.0,15.034181762903158
105.0,-70.0,15.108023255831311
105.0,-65.0,15.112671011749567
105.0,-60.0,15.239645893298157
105.0,-55.0,15.205723528857714
105.0,-50.0,15.267391334031343
105.0,-45.0,15.305948341851735
105.0,-40.0,15.401646778947713
105.0,-35.0,15.414985679198168
105.0,-30.0,15.37874707940243
105.0,-25.0,15.316054205867308
105.0,-20.0,15.260564613958222
105.0,-15.0,15.143781807375564
105.0,-10.0,15.093580428648167
105.0,-5.0,14.66372443548526
105.0,0.0,13.022084774254548
105.0,5.0,15.086662680352381
105.0,10.0,15.15214297128661
105.0,15.0,15.07484998557189
105.0,20.0,14.997028368976892
105.0,25.0,14.93658356338569
105.0,30.0,14.900986884796456
105.0,35.0,14.94118982414384
105.0,40.0,14.943678375529464
105.0,45.0,15.055256393797867
105.0,50.0,15.215938911286036
105.0,55.0,15.207451595476117
105.0,60.0,15.305997230583024
105.0,65.0,15.256857446112262
105.0,70.0,15.213106825659485
105.0,75.0,15.182343742023713
105.0,80.0,15.20172131406556
105.0,85.0,15.267001164905006
105.0,90.0,15.252713668975785
110.0,-90.0,15.01682091453129
110.0,-85.0,14.93992650745367
110.0,-80.0,14.945210607678694
110.0,-75.0,15.037524355973824
110.0,-70.0,15.09310611536145
110.0,-65.0,15.125069805989831
110.0,-60.0,15.243540759895616
110.0,-55.0,15.268350645034142
110.0,-50.0,15.306557022389438
110.0,-45.0,15.371189840900811
110.0,-40.0,15.38539254195631
110.0,-35.0,15.318728907405346
110.0,-30.0,15.266709828582636
110.0,-25.0,15.208057458311517
110.0,-20.0,15.165953966345722
110.0,-15.0,15.129529543300206
110.0,-10.0,14.923587174255632
110.0,-5.0,15.118758178118402
110.0,0.0,12.980531338857178
110.0,5.0,14.797201670482645
110.0,10.0,15.243529384300668
110.0,15.0,15.072129118100506
110.0,20.0,15.065069451369299
110.0,25.0,14.965002273130386
110.0,30.0,14.859991786732593
110.0,35.0,14.87919266662911
110.0,40.0,14.929060758596924
