longitude_list,latitude_list,OVIII_column_number_density_integrate_data_list
80.0,5.0,12.933979023429476
80.0,10.0,14.275287128730563
80.0,15.0,14.306337551002013
80.0,20.0,14.312922459384628
80.0,25.0,14.307136336323902
80.0,30.0,14.361618062548336
80.0,35.0,14.48555913899626
80.0,40.0,14.47514343618457
80.0,45.0,14.481449512156285
80.0,50.0,14.50519773397676
80.0,55.0,14.458468353166444
80.0,60.0,14.474332954870809
80.0,65.0,14.516042280490023
80.0,70.0,14.567932244045906
80.0,75.0,14.599058465852181
80.0,80.0,14.585580558340107
80.0,85.0,14.518357711543237
80.0,90.0,14.534958148663772
85.0,-90.0,14.405611173066939
85.0,-85.0,14.42471994098668
85.0,-80.0,14.486369568130806
85.0,-75.0,14.52070094540724
85.0,-70.0,14.558384517589063
85.0,-65.0,14.523706618420155
85.0,-60.0,14.530189938513436
85.0,-55.0,14.567281610281299
85.0,-50.0,14.56492003064868
85.0,-45.0,14.574235879548368
85.0,-40.0,14.570064641567345
85.0,-35.0,14.544508483861527
85.0,-30.0,14.59818599790862
85.0,-25.0,14.694146141959484
85.0,-20.0,14.582266375285956
85.0,-15.0,14.279842215432398
85.0,-10.0,13.995525255334723
85.0,-5.0,12.638141545214399
85.0,0.0,12.683511420376648
85.0,5.0,13.433476647950883
85.0,10.0,14.170423896250085
85.0,15.0,14.330090354721824
85.0,20.0,14.317888271179886
85.0,25.0,14.336833334795184
85.0,30.0,14.4020334021596
85.0,35.0,14.426928553416499
85.0,40.0,14.467343530464452
85.0,45.0,14.481721231723313
85.0,50.0,14.471008944516774
85.0,55.0,14.437637846800643
85.0,60.0,14.467235772113373
85.0,65.0,14.513394801525441
85.0,70.0,14.55373661053227
85.0,75.0,14.577027615049518
85.0,80.0,14.580097170493154
85.0,85.0,14.520378451385039
85.0,90.0,14.534958148663772
90.0,-90.0,14.405611173066939
90.0,-85.0,14.430821844199967
90.0,-80.0,14.475528720688272
90.0,-75.0,14.525836490136308
90.0,-70.0,14.570181699984415
90.0,-65.0,14.495308349876272
90.0,-60.0,14.57682200812071
90.0,-55.0,14.575865255377428
90.0,-50.0,14.563335272093521
90.0,-45.0,14.624812974399092
90.0,-40.0,14.600741862442792
90.0,-35.0,14.608239382193503
90.0,-30.0,14.68411227378864
90.0,-25.0,14.594595587616729
90.0,-20.0,14.395836080052339
